时间,tout,two,twi,ta,tpo,tpi,tin,t排,twi无,ta无,tpo无,tpi无,twi上,twi中,twi下,ta上,ta中,ta下,tpo上,tpo中,tpo下,tpi上,tpi中,tpi下,twi模拟,ta模拟,tpo模拟,tpi模拟,twi无_模拟,ta无_模拟,tpo无_模拟,tpi无_模拟,ta模拟2,tpo模拟2,tpi模拟2,ta无_模拟2,tpo无_模拟2,tpi无_模拟2
2018-10-01 23:25:00.359,20.205446,22.304683,21.84100233333333,20.063101,19.001309666666668,16.299693666666666,15.224304,20.09911,24.189663,22.473808,22.321039000000006,18.683133,22.303018,21.905399,21.31459,20.134991,20.127033,19.927279,19.221976,18.832097,18.949856,16.777156,16.670756,15.451169,22.830096696175413,20.61066082263887,19.43012704538017,15.365312422543495,26.42255037667636,25.514922924061548,24.605646504889574,17.04241463013786,19.909425190709115,18.880977498734225,15.34866066184653,23.459988283053423,22.72723198318232,16.68433606523411
2018-10-01 23:26:00.359,20.122163,22.319552,21.83242033333333,20.073241,18.989453333333334,16.283440666666667,15.239807999999998,20.065437,24.184691,22.513365,22.224795,18.704629,22.29311,21.897481,21.30667,20.223857,20.15315,19.842716,19.211327,18.867478,18.889555,16.734491000000002,16.691975,15.423856,22.82487904590929,20.601425749428397,19.419009934307123,15.371272981475403,26.42163820506394,25.512267133676094,24.60136874653634,17.044212668652392,19.897876616731885,18.868035453648503,15.354562962230752,23.454030806050124,22.719944532798706,16.68560514075275
2018-10-01 23:27:00.359,20.194793,22.34037,21.824499000000007,20.053776,18.991235999999997,16.271805999999998,15.213645,20.111618,24.182702,22.487315,22.195029,18.655496,22.286175,21.893522,21.2938,20.186336,20.166692,19.8083,19.197774,18.878598,18.897336,16.690835,16.678472,15.446110999999998,22.81979958836185,20.593011569053452,19.409075470338546,15.352840690961239,26.420754675377324,25.50983513920007,24.597516989829487,17.028732657456214,19.887343654347273,18.856424872277387,15.336073582303053,23.44969511107797,22.714194811808945,16.66960666463637
2018-10-01 23:28:00.359,20.189951,22.358213,21.817567666666665,20.071240666666668,18.986897,16.242373999999998,15.142907999999998,20.059664,24.176735,22.463195,22.272421,18.673921,22.28023,21.886593,21.28588,20.180412,20.148313,19.884997,19.226817,18.820977,18.912897,16.717624,16.632176,15.377322,22.81480474505283,20.58405468678028,19.397852045969906,15.299985338159123,26.41988838697536,25.5073844027685,24.593471027076426,16.98749941895504,19.876753212885717,18.843875724758533,15.283163681719634,23.44356408220989,22.706867277355407,16.627856305070985
2018-10-01 23:29:00.359,20.292602,22.328474,21.80964633333333,20.09259433333333,18.948657,16.177333666666666,15.088644,20.032725,24.174746,22.434251,22.169232,18.512192,22.273294,21.878675,21.27697,20.248542,20.216024,19.813217,19.15905,18.8139,18.873021,16.649162,16.574306,15.308533,22.809807884797305,20.573458037656152,19.383787340347517,15.25056593444454,26.41901852948769,25.504670711642586,24.588762279968467,16.947710873194385,19.864191081874463,18.8282536738053,15.233692169735972,23.438827777785388,22.70018575914728,16.587559553082308
2018-10-01 23:30:00.359,20.200604,22.3255,21.800075333333336,20.036688,18.92911433333333,16.155574666666666,15.085737,20.032725,24.171762,22.384082,22.200982,18.60534,22.266359,21.869767,21.2641,20.20016,20.059322,19.850582,19.219072,18.737072,18.831199,16.689842000000002,16.548265,15.228617000000002,22.80476627245332,20.56180275644911,19.368302307688847,15.235084078971267,26.41813215088117,25.501734410690545,24.583648036215745,16.932559772109858,19.849723914635288,18.81061131411339,15.218157886932824,23.43384973411411,22.69307465023077,16.57191930878055
2018-10-01 23:31:00.359,20.065028,22.337396,21.791163666666666,20.026081,18.900198666666668,16.160395333333334,15.2088,20.040422,24.16679,22.399518,22.203959,18.592033,22.258432,21.858879,21.25618,20.205097,20.022564000000006,19.850582,19.192933,18.728985,18.778678,16.660076,16.554052,15.267058,22.79979244296609,20.55253827062229,19.357486383545197,15.311934913232815,26.417251832503787,25.499179196587008,24.579637085228487,16.9865281459697,19.83769676725277,18.797671123080747,15.294954046760536,23.428154238399248,22.686243060045772,16.625407353304116
2018-10-01 23:32:00.359,20.248055,22.332439,21.782252,20.078437333333326,18.897852,16.348571333333336,16.184583,19.985583,24.163806,22.384082,22.187092,18.60534,22.249515,21.847991,21.24925,20.258416,20.051583,19.925313,19.140656,18.742126000000006,18.810774,16.686866000000002,16.728626000000002,15.630222,22.79579360069907,20.5644511276866,19.38426196603572,15.990801646495534,26.41658757950519,25.50050622406897,24.585188027497807,17.490094245962993,19.84642210234973,18.822045694661373,15.973762501163929,23.427003363430828,22.689538871363787,17.12849879136637
2018-10-01 23:33:00.359,20.412683,22.331448,21.781261666666666,20.10941533333333,18.943788,16.56480566666667,16.663269,20.069285,24.165795000000006,22.454512,22.155341,18.686204,22.246543,21.845022,21.25222,20.32556,20.038041,19.964645,19.151305,18.838162,18.841897,16.794023000000006,16.99097,15.909424,22.79388855651409,20.60737123220087,19.460364799686875,16.461019880558347,26.416425797526397,25.508205262200494,24.604412358768023,17.85914051723287,19.888844974303375,18.897717917700934,16.44392516878577,23.434962302948946,22.708706704211487,17.497113760726787
2018-10-01 23:34:00.359,20.229656,22.31757,21.785220666666664,20.107547666666665,19.005795000000003,16.759876666666667,16.841565,20.069285,24.163806,22.41592,22.171216,18.757856,22.244561,21.847001,21.2641,20.221883,20.053518,20.047242,19.177444,18.925099,18.914842,16.946822,17.188693,16.144115,22.794682324138474,20.674203001253165,19.569482015238734,16.712695328898352,26.416959644117995,25.521755157817463,24.634343067003414,18.071946966084067,19.957019215984108,19.007768376158754,16.695557394342913,23.447099087718225,22.737371906463906,17.70954128634593
